year,SO_2,CO,NO_2,PM10,PM25,O_3
2001,18.411255279179517,0.9283681378789255,63.108227479863984,35.082387580822555,,31.38322116881987
2002,13.255595582046128,0.7749127022650307,62.13979847660542,33.39131175601023,,32.26805419046394
2003,12.362457750972125,0.7038288898724078,58.40161566890763,35.55702749273102,,36.887851542880405
2004,11.359919679200292,0.6538703742455382,60.75341808031844,33.68258239891184,19.76345787279099,33.14924359040838
2005,11.862650173594414,0.6478851676727253,61.97692433150153,34.34152293199027,18.740078161320003,34.5336466696588
2006,10.70358277021143,0.5718013261972135,60.751076498959506,37.016439632581545,18.56688741958301,34.6798377400885
2007,10.907237338347539,0.4967344843311005,60.014134452995215,33.19792571389626,17.4192292901348,34.52508782189602
2008,10.56229467910005,0.4117497151524656,55.359867424935956,26.63040952447159,14.387927246126015,39.06615783575026
2009,10.321148083269781,0.39437117255205995,52.854811049826786,24.052124410087554,12.957122697253737,42.29807047690397
2010,9.669670507080324,0.35699080136121125,44.545911302937505,21.009587799089324,11.864827863998544,47.38890507632786
2011,6.924470985381625,0.36792140587018307,44.878165028990416,23.28805472865569,12.27100172134781,44.99496260786716
2012,4.36997860168198,0.35474915887677083,38.64571843202448,23.59447793215567,11.80940347824086,41.17235884234177
2013,4.425224160101374,0.32880100618069663,34.723744850649204,18.38281345144973,9.945896428666435,49.99717150729945
2014,5.021946541755453,0.36867187887079717,35.07131734100913,19.289739068519385,10.620764990558564,51.63410608968242
2015,6.882990248584233,0.36670256350004665,40.991443901330754,21.004766122163588,11.471733747712037,50.5714600091438
2016,7.694307985733699,0.354504201267955,38.56012306318912,19.1550568719065,10.384935758490984,49.05805329012731
2017,6.8535638727779595,0.3636921867404171,41.572629250656455,19.948603190661725,9.949762834834527,48.32328402600498
2018,5.387520134630701,0.34430525020602093,38.6368642506773,13.53582055287206,7.696596899545166,44.85166986508217
